iter	RMSE
0	245.1693051
1	243.6307707
2	242.3286603
3	241.1020464
4	239.9569023
5	238.7162677
6	237.9784015
7	237.4399501
8	236.6751236
9	236.2907946
10	235.9918874
11	235.620123
12	235.4660794
13	235.0447605
14	234.8357869
15	234.5900349
16	234.2494613
17	234.1516644
18	233.8483778
19	233.5328006
20	233.1882052
21	232.9643379
22	232.7708569
23	232.6330416
24	232.5464686
25	232.4390675
26	231.4920965
27	231.3886317
28	231.153896
29	231.0873509
30	231.0051687
31	230.5032312
32	230.4367383
33	230.3730443
34	230.2408296
35	230.1712722
36	230.0699371
37	230.0322532
38	229.8978739
39	229.8353271
40	229.6363879
41	229.6363878
42	229.5837239
43	229.5824917
44	229.5746416
45	229.1595017
46	229.0964285
47	229.0665138
48	229.0530574
49	229.0530573
50	228.9999654
51	228.9503548
52	228.6238433
53	228.4560548
54	228.3292836
55	228.3115279
56	228.2638448
57	228.260594
58	228.2495517
59	228.2156127
60	228.1125885
61	227.8510096
62	227.7919947
63	227.5937044
64	227.5827196
65	227.5530263
66	227.532403
67	227.4473651
68	227.3270872
69	227.293012
70	226.9225517
71	226.8151565
72	226.7586677
73	226.5455535
74	226.4533827
75	226.1977778
76	226.1784009
77	226.1651951
78	226.1438201
79	226.1292402
80	226.0655239
81	226.0539797
82	225.8670864
83	225.8639964
84	225.8341222
85	225.8270512
86	225.6017542
87	225.5884116
88	225.5191793
89	225.2879697
90	225.2777391
91	225.2745939
92	225.2129162
93	225.1944694
94	225.1897191
95	225.1818266
96	225.1723644
97	225.1465042
98	225.1465041
99	225.0688577
100	224.9667062
101	224.9602978
102	224.9503062
103	224.9324467
104	224.8972653
105	224.7859382
106	224.6423353
107	224.4778299
108	224.4777531
109	224.4205305
110	224.185592
111	223.539705
112	223.5261618
113	223.2765174
114	222.6248072
115	222.44328
116	222.0170625
117	221.9661245
118	221.9562103
119	221.7551044
120	221.7422862
121	221.7043002
122	221.1128898
123	221.0680467
124	220.9998197
125	220.7522807
126	220.7255956
127	220.1851729
128	219.9642296
129	219.474188
130	219.4481607
131	218.9959729
132	218.9323086
133	218.5180891
134	218.0930197
135	218.0070236
136	217.7919096
137	217.408884
138	217.2952811
139	217.2110917
140	216.8654759
141	216.4958124
142	216.4054392
143	216.3618338
144	216.3205113
145	215.9992737
146	215.75484
147	215.5743037
148	215.2378754
149	214.9207488
150	214.6105486
151	214.4787401
152	214.4458845
153	214.4095392
154	214.3370715
155	214.1896682
156	214.1248292
157	213.8422209
158	213.7878986
159	213.5096401
160	213.249064
161	213.2159368
162	213.1626599
163	213.1171125
164	212.8792087
165	212.660245
166	212.4586844
167	212.3228213
168	212.1993769
169	211.9089119
170	211.8738511
171	211.8378782
172	211.7349729
173	211.5496422
174	211.2876093
175	211.0956885
176	210.9246482
177	210.7082956
178	210.5410912
179	210.4070091
180	210.3785391
181	210.2210279
182	210.1885167
183	209.9606658
184	209.9403079
185	209.7587047
186	209.5958833
187	209.4504289
188	209.2836842
189	209.2000823
190	209.1056424
191	209.0791791
192	209.0642862
193	208.9301718
194	208.9206506
195	208.7833762
196	208.7179181
197	208.6342243
198	208.5203928
199	208.4373217
200	208.3662248
201	208.310935
202	208.2530444
203	208.1924726
204	208.0384525
205	208.0325844
206	207.9094095
207	207.8427081
208	207.6044624
209	207.4870084
210	207.4709246
211	207.4244964
212	207.3244713
213	207.1051037
214	206.9193376
215	206.8210401
216	206.6640125
217	206.5898475
218	206.564054
219	206.4640863
220	206.4592512
221	206.4446323
222	206.4211461
223	206.2183394
224	206.1576882
225	206.0732135
226	206.0340894
227	205.8403216
228	205.83033
229	205.6433504
230	205.4967969
231	205.470927
232	205.3851959
233	205.2354743
234	205.2267491
235	205.1481249
236	205.0193091
237	204.9702194
238	204.9676521
239	204.919001
240	204.8463642
241	204.7942299
242	204.7697606
243	204.7365737
244	204.6754195
245	204.5982172
246	204.5288228
247	204.3557516
248	204.2778413
249	204.2235832
250	204.18266
251	204.1402965
252	204.1231803
253	204.0910813
254	204.0877417
255	204.0748962
256	204.0649525
257	203.9623165
258	203.9370016
259	203.9256758
260	203.7665456
261	203.6841449
262	203.6704846
263	203.6398112
264	203.6025094
265	203.5747991
266	203.5552099
267	203.3294152
268	203.3269216
269	203.2193265
270	203.0956093
271	203.006797
272	202.9837297
273	202.9146784
274	202.8583079
275	202.8116188
276	202.8100737
277	202.7133593
278	202.690627
279	202.6709408
280	202.6082956
281	202.5913377
282	202.5055365
283	202.469773
284	202.4464611
285	202.3958889
286	202.3809059
287	202.1925392
288	202.1605627
289	202.1331796
290	202.0504464
291	202.014209
292	201.9949012
293	201.9459557
294	201.8978223
295	201.8558545
296	201.7559553
297	201.7474633
298	201.7128979
299	201.7006443
300	201.6013421
301	201.5721875
302	201.5193047
303	201.4874723
304	201.4674586
305	201.4284395
306	201.3945309
307	201.3845984
308	201.3778999
309	201.3545783
310	201.3143465
311	201.2836043
312	201.2796435
313	201.241926
314	201.2011639
315	201.1971198
316	201.1533295
317	201.1195654
318	200.9714635
319	200.9435672
320	200.9383581
321	200.9075242
322	200.8985179
323	200.8903993
324	200.854297
325	200.8110931
326	200.7879538
327	200.7548636
328	200.6182182
329	200.615157
330	200.5643591
331	200.4845367
332	200.4480934
333	200.4187139
334	200.3998247
335	200.3690008
336	200.3012081
337	200.2953708
338	200.2686044
339	200.246716
340	200.2288903
341	200.2058343
342	200.1798238
343	200.1650225
344	200.1464962
345	200.1151769
346	200.0854521
347	200.0799468
348	200.042995
349	200.0419702
350	200.0369408
351	200.0106605
352	199.9457485
353	199.9312545
354	199.8620708
355	199.8504467
356	199.8490288
357	199.8352193
358	199.8280784
359	199.8131116
360	199.785955
361	199.7849253
362	199.7610832
363	199.7010513
364	199.6960462
365	199.6914854
366	199.6312632
367	199.5860948
368	199.5493582
369	199.4995981
370	199.4753784
371	199.4739858
372	199.45789
373	199.4575151
374	199.4531807
375	199.431511
376	199.3721052
377	199.3679635
378	199.3634657
379	199.3592456
380	199.3585299
381	199.3509556
382	199.3181436
383	199.2945922
384	199.2805751
385	199.2555531
386	199.2516486
387	199.2397417
388	199.188025
389	199.137401
390	199.1337135
391	199.107202
392	199.1039117
393	199.0618967
394	199.0173486
395	198.9964245
396	198.993085
397	198.9891376
398	198.9776141
399	198.906115
400	198.8961269
401	198.8872384
402	198.8839461
403	198.8751223
404	198.8719218
405	198.8671474
406	198.8239673
407	198.7976269
408	198.7703365
409	198.7618967
410	198.7366091
411	198.7333151
412	198.7234378
413	198.6577288
414	198.6549547
415	198.6360911
416	198.6355453
417	198.6193705
418	198.6172205
419	198.6166664
420	198.573137
421	198.4865438
422	198.3803318
423	198.3565418
424	198.2677847
425	198.2620088
426	198.2589868
427	198.2400258
428	198.2326405
429	198.2273365
430	198.2264519
431	198.205728
432	198.2033526
433	198.1787928
434	198.1778463
435	198.1593567
436	198.1508492
437	198.1242781
438	198.1218611
439	198.1057193
440	198.0850511
441	198.0827602
442	198.0686163
443	198.0453817
444	197.9863187
445	197.9793544
446	197.9751614
447	197.972844
448	197.9680812
449	197.9665063
450	197.958134
451	197.925065
452	197.9136035
453	197.8988537
454	197.897743
455	197.8886756
456	197.8824407
457	197.8703903
458	197.8694565
459	197.8452788
460	197.8324568
461	197.8251802
462	197.813076
463	197.7926624
464	197.7733728
465	197.7623661
466	197.7518775
467	197.7110491
468	197.701778
469	197.6875242
470	197.6708742
471	197.6500809
472	197.6496395
473	197.6399562
474	197.6313841
475	197.6224329
476	197.6148362
477	197.6080951
478	197.5883495
479	197.5874705
480	197.5677593
481	197.5669982
482	197.5504417
483	197.5497339
484	197.5388154
485	197.526238
486	197.5086497
487	197.4890183
488	197.4805382
489	197.4682133
490	197.4588127
491	197.4576939
492	197.4513301
493	197.450679
494	197.4499825
495	197.4489216
496	197.4476181
497	197.4472006
498	197.4389248
499	197.4318478
500	197.4239074
501	197.4177051
502	197.4122006
503	197.397046
504	197.3660993
505	197.333511
506	197.3020955
507	197.2970979
508	197.2926522
509	197.291999
510	197.2831766
511	197.2719255
512	197.2710225
513	197.2503676
514	197.248699
515	197.2457863
516	197.2317413
517	197.227709
518	197.2249342
519	197.196757
520	197.1935385
521	197.1813346
522	197.1505575
523	197.0949409
524	197.0651331
525	197.0544208
526	197.0458932
527	197.0407974
528	197.0333762
529	197.0329666
530	197.0322463
531	197.0160203
532	197.0037902
533	196.9979694
534	196.9961796
535	196.9891321
536	196.7743145
537	196.7586628
538	196.7468591
539	196.7363521
540	196.6844915
541	196.6148299
542	196.5763786
543	196.5716945
544	196.5600089
545	196.5316509
546	196.5263852
547	196.4839645
548	196.4229736
549	196.2510563
550	196.242312
551	196.2379228
552	196.2355511
553	196.2278272
554	196.2274572
555	196.2259952
556	196.2184341
557	196.2138275
558	196.1841677
559	196.1754892
560	196.1747432
561	196.1610246
562	196.1359393
563	196.129267
564	196.1234386
565	196.1225125
566	196.1183343
567	196.0700634
568	195.9872547
569	195.9870841
570	195.985708
571	195.9737422
572	195.9670947
573	195.9207326
574	195.9197684
575	195.9145649
576	195.8551089
577	195.8525254
578	195.8282593
579	195.8226463
580	195.8084099
581	195.7835077
582	195.7294567
583	195.6715578
584	195.6582609
585	195.6509864
586	195.6397881
587	195.6307118
588	195.6305356
589	195.5988093
590	195.5889149
591	195.5884388
592	195.569037
593	195.56063
594	195.558716
595	195.5428531
596	195.4722044
597	195.4673645
598	195.4610417
599	195.4545689
600	195.4139894
601	195.4137861
602	195.400403
603	195.3829572
604	195.3802413
605	195.3760585
606	195.3617989
607	195.3558873
608	195.3491932
609	195.3454344
610	195.3347489
611	195.3293038
612	195.3095664
613	195.2782789
614	195.2775156
615	195.2573939
616	195.2561038
617	195.2133102
