iter	Passed	Remaining
0	154	184662
1	170	101889
2	188	75155
3	204	61238
4	223	53307
5	240	47918
6	257	43882
7	272	40634
8	288	38114
9	302	35990
10	313	33933
11	330	32740
12	344	31455
13	359	30436
14	376	29742
15	392	29046
16	410	28540
17	423	27823
18	440	27379
19	455	26872
20	470	26390
21	487	26081
22	502	25727
23	517	25363
24	532	25023
25	550	24842
26	566	24589
27	582	24401
28	599	24202
29	614	23971
30	630	23790
31	648	23656
32	665	23518
33	680	23347
34	694	23114
35	708	22917
36	724	22770
37	739	22626
38	755	22480
39	767	22252
40	785	22204
41	791	21822
42	808	21752
43	820	21565
44	828	21277
45	848	21287
46	866	21262
47	884	21237
48	897	21083
49	903	20770
50	919	20721
51	936	20682
52	956	20694
53	974	20673
54	990	20619
55	1007	20574
56	1021	20490
57	1030	20293
58	1039	20104
59	1056	20077
60	1071	20006
61	1086	19944
62	1103	19918
63	1120	19883
64	1137	19867
65	1153	19818
66	1170	19802
67	1186	19743
68	1201	19691
69	1218	19668
70	1234	19630
71	1252	19619
72	1268	19587
73	1284	19550
74	1300	19512
75	1318	19497
76	1332	19436
77	1347	19379
78	1362	19334
79	1378	19294
80	1394	19266
81	1411	19250
82	1428	19218
83	1443	19177
84	1459	19145
85	1472	19078
86	1491	19076
87	1508	19067
88	1524	19034
89	1542	19022
90	1560	19012
91	1577	18997
92	1592	18954
93	1607	18916
94	1621	18857
95	1636	18817
96	1650	18769
97	1665	18723
98	1670	18573
99	1687	18558
100	1705	18561
101	1721	18528
102	1739	18522
103	1757	18522
104	1774	18509
105	1791	18486
106	1806	18451
107	1824	18445
108	1839	18413
109	1857	18407
110	1872	18369
111	1889	18351
112	1904	18320
113	1922	18313
114	1939	18298
115	1955	18270
116	1971	18246
117	1986	18211
118	2003	18198
119	2021	18190
120	2037	18169
121	2054	18156
122	2072	18149
123	2089	18128
124	2104	18099
125	2120	18077
126	2138	18064
127	2154	18042
128	2172	18033
129	2189	18021
130	2207	18012
131	2223	17993
132	2239	17964
133	2255	17944
134	2272	17924
135	2289	17915
136	2306	17894
137	2319	17851
138	2337	17842
139	2352	17809
140	2368	17785
141	2384	17768
142	2401	17750
143	2418	17735
144	2435	17722
145	2449	17684
146	2467	17673
147	2482	17644
148	2498	17625
149	2515	17606
150	2528	17567
151	2546	17554
152	2562	17534
153	2577	17505
154	2592	17477
155	2609	17463
156	2626	17450
157	2645	17445
158	2663	17435
159	2679	17417
160	2693	17379
161	2710	17366
162	2724	17335
163	2738	17302
164	2755	17284
165	2770	17259
166	2785	17232
167	2799	17199
168	2815	17178
169	2832	17160
170	2848	17143
171	2862	17107
172	2875	17070
173	2888	17032
174	2905	17016
175	2922	17005
